11,1
2577,1
7877,0
2070,0
25,1
4637,0
2590,1
5666,0
2600,0
41,1
555,0
4652,0
4653,1
2607,1
5684,1
3637,1
4361,0
56,1
5181,1
1089,0
6667,0
3142,0
75,1
3151,0
6226,1
87,0
1626,1
5732,0
102,1
103,1
1640,1
1647,1
1143,0
2180,0
1672,0
1676,1
4750,0
2191,1
1168,0
6808,0
1989,0
2729,1
7853,0
1712,1
6327,0
4281,0
2234,0
5407,1
4285,1
5310,0
193,0
1218,1
708,1
709,0
1228,0
714,0
203,0
204,0
219,0
222,1
223,1
224,0
225,1
1257,1
747,1
752,0
6897,0
3314,1
7414,1
1279,1
5895,1
6921,0
3340,1
1807,1
272,1
1811,0
4373,0
5401,1
2095,0
5404,1
6943,1
6945,1
293,0
5420,1
303,1
816,0
136,0
316,0
5438,0
321,0
834,1
5457,0
341,0
3929,0
1370,0
4454,1
5992,1
365,1
1391,1
5490,0
1403,1
6016,0
1923,1
7045,0
3974,1
2458,0
7587,1
423,0
7599,0
433,1
3515,0
2495,0
4035,0
4342,1
7110,0
1495,1
6860,0
4573,1
4575,0
2016,1
484,0
486,0
2539,1
5624,0
5113,1
2554,0
1791,0
2559,0
