1 	136 	5687 - The Outliers 	73 [NE District - Granite State Event] 	63 [NE District - Greater Boston Event] 	--- 	--- 	0
2 	117 	95 - Grasshoppers 	53 [NE District - Granite State Event] 	64 [NE District - Greater Boston Event] 	--- 	--- 	0
3 	116 	6763 - FUSION 	33 [NE District - Granite State Event] 	73 [NE District - Greater Boston Event] 	--- 	--- 	10
4 	108 	4761 - The Robockets 	38 [NE District - SE Mass Event] 	70 [NE District - North Shore Event] 	--- 	--- 	0
5 	102 	2084 - Robots by the C 	61 [NE District - Granite State Event] 	41 [NE District - North Shore Event] 	--- 	--- 	0
6 	93 	1071 - Team Max 	34 [NE District - Waterbury Event] 	59 [NE District - North Shore Event] 	Qualified 	--- 	0
7 	93 	2648 - Infinite Loop 	37 [NE District - SE Mass Event] 	56 [NE District - North Shore Event] 	Qualified 	--- 	0
8 	92 	1058 - PVC Pirates 	65 [NE District - Granite State Event] 	27 [NE District - North Shore Event] 	--- 	--- 	0
9 	87 	4169 - Warrior Robotics 	49 [NE District - SE Mass Event] 	38 [NE District - North Shore Event] 	--- 	--- 	0
10 	87 	2067 - Apple Pi 	51 [NE District - Waterbury Event] 	36 [NE District - Greater Boston Event] 	--- 	--- 	0
11 	84 	3958 - Schrodinger's Cat 	35 [NE District - Granite State Event] 	49 [NE District - Greater Boston Event] 	--- 	--- 	0
12 	84 	6201 - The Highlanders 	35 [NE District - SE Mass Event] 	44 [NE District - Greater Boston Event] 	--- 	--- 	5
13 	81 	78 - AIR STRIKE 	41 [NE District - Granite State Event] 	40 [NE District - SE Mass Event] 	--- 	--- 	0
14 	75 	4908 - Duxbury Dragons 	44 [NE District - Granite State Event] 	31 [NE District - SE Mass Event] 	--- 	--- 	0
15 	73 	3623 - Terror Bots 	73 [NE District - Worcester Polytechnic Institute Event] 	Not Played 	--- 	--- 	0
16 	73 	230 - Gaelhawks 	28 [NE District - Waterbury Event] 	45 [NE District - Greater Boston Event] 	--- 	--- 	0
17 	69 	5563 - Phalanx 	42 [NE District - SE Mass Event] 	27 [NE District - Greater Boston Event] 	--- 	--- 	0
18 	67 	125 - NUTRONs 	67 [NE District - Greater Boston Event] 	Not Played 	Qualified 	--- 	0
19 	67 	5735 - Control Freaks 	34 [NE District - Granite State Event] 	33 [NE District - North Shore Event] 	--- 	--- 	0
20 	64 	236 - Techno-Ticks 	64 [NE District - Waterbury Event] 	Not Played 	--- 	Qualified 	0
21 	63 	3654 - TechTigers 	63 [NE District - Waterbury Event] 	Not Played 	--- 	--- 	0
