1 	146 	1425 - Error Code Xero 	73 [PNW District Wilsonville Event] 	73 [PNW District Auburn Mountainview Event] 	--- 	--- 	0
2 	143 	2811 - StormBots 	65 [PNW District Clackamas Academy Event] 	78 [PNW District SunDome Event] 	--- 	--- 	0
3 	142 	4513 - Circuit Breakers 	72 [PNW District Clackamas Academy Event] 	70 [PNW District West Valley Event] 	--- 	--- 	0
4 	142 	2471 - Team Mean Machine 	69 [PNW District Wilsonville Event] 	73 [PNW District Lake Oswego Event] 	--- 	--- 	0
5 	142 	2910 - Jack in the Bot 	69 [PNW District Mount Vernon Event] 	73 [PNW District Glacier Peak Event] 	--- 	--- 	0
6 	138 	1983 - Skunk Works Robotics 	69 [PNW District Auburn Event] 	69 [PNW District Glacier Peak Event] 	--- 	--- 	0
7 	134 	2046 - Bear Metal 	73 [PNW District Clackamas Academy Event] 	61 [PNW District Auburn Event] 	--- 	--- 	0
8 	132 	5803 - Apex Robotics 	59 [PNW District Clackamas Academy Event] 	73 [PNW District Auburn Event] 	--- 	--- 	0
9 	122 	957 - SWARM 	61 [PNW District Wilsonville Event] 	61 [PNW District Lake Oswego Event] 	--- 	--- 	0
10 	120 	2990 - Hotwire 	59 [PNW District Wilsonville Event] 	61 [PNW District West Valley Event] 	--- 	--- 	0
11 	119 	1318 - Issaquah Robotics Society 	44 [PNW District Mount Vernon Event] 	75 [PNW District SunDome Event] 	--- 	--- 	0
12 	110 	2557 - SOTAbots 	64 [PNW District Auburn Event] 	46 [PNW District Auburn Mountainview Event] 	--- 	--- 	0
13 	107 	4061 - SciBorgs 	60 [PNW District SunDome Event] 	47 [PNW District West Valley Event] 	--- 	--- 	0
14 	106 	2147 - CHUCK 	62 [PNW District Mount Vernon Event] 	44 [PNW District West Valley Event] 	--- 	--- 	0
15 	98 	6831 - A-05 Annex 	45 [PNW District Clackamas Academy Event] 	43 [PNW District SunDome Event] 	--- 	--- 	10
16 	96 	3711 - Iron Mustang 	35 [PNW District Clackamas Academy Event] 	61 [PNW District SunDome Event] 	--- 	--- 	0
17 	95 	3218 - Panther Robotics 	36 [PNW District SunDome Event] 	59 [PNW District Glacier Peak Event] 	--- 	--- 	0
18 	95 	488 - Team XBot 	51 [PNW District Mount Vernon Event] 	44 [PNW District Auburn Event] 	--- 	--- 	0
19 	94 	4980 - Canine Crusaders 	38 [PNW District SunDome Event] 	56 [PNW District West Valley Event] 	--- 	--- 	0
20 	93 	1778 - Chill Out 	32 [PNW District Auburn Event] 	61 [PNW District Auburn Mountainview Event] 	--- 	--- 	0
