1 	146 	67 - The HOT Team 	73 [FIM District - Waterford Event] 	73 [FIM District - Howell Event] 	--- 	Qualified 	0
2 	146 	33 - Killer Bees 	73 [FIM District - Waterford Event] 	73 [FIM District - Troy Event] 	Qualified 	--- 	0
3 	145 	2834 - Bionic Black Hawks 	76 [FIM District - Lakeview Event] 	69 [FIM District - Howell Event] 	Qualified 	--- 	0
4 	144 	85 - B.O.B. (Built on Brains) 	76 [FIM District - Lakeview Event] 	68 [FIM District - West Michigan Event] 	Qualified 	--- 	0
5 	141 	3357 - COMETS 	70 [FIM District - Lansing Event] 	71 [FIM District - East Kentwood Event] 	--- 	--- 	0
6 	139 	1023 - Bedford Express 	61 [FIM District - Waterford Event] 	78 [FIM District - Livonia Event] 	--- 	--- 	0
7 	128 	5505 - V2 Robotics 	57 [FIM District - Escanaba Event] 	66 [FIM District - Lake Superior State University Event] 	--- 	--- 	5
8 	127 	3534 - House of Cards 	60 [FIM District - Kettering University Event #2] 	67 [FIM District - Marysville Event] 	--- 	--- 	0
9 	126 	2767 - Stryke Force 	73 [FIM District - St. Joseph Event] 	53 [FIM District - East Kentwood Event] 	--- 	Qualified 	0
10 	126 	1718 - The Fighting Pi 	49 [FIM District - Waterford Event] 	77 [FIM District - Troy Event] 	Qualified 	--- 	0
11 	125 	3620 - Average Joes 	72 [FIM District - St. Joseph Event] 	53 [FIM District - East Kentwood Event] 	--- 	--- 	0
12 	125 	3546 - Buc'n'Gears 	49 [FIM District - St. Joseph Event] 	76 [FIM District - West Michigan Event] 	--- 	--- 	0
13 	124 	2137 - TORC 	51 [FIM District - Waterford Event] 	73 [FIM District - Marysville Event] 	Qualified 	--- 	0
14 	122 	5926 - MooBotics 	65 [FIM District - Kettering University Event #2] 	47 [FIM District - Marysville Event] 	--- 	--- 	10
15 	121 	1918 - NC GEARS 	73 [FIM District - Standish-Sterling Event] 	48 [FIM District - West Michigan Event] 	--- 	--- 	0
16 	119 	5460 - Strike Zone 	57 [FIM District - Kettering University Event #1] 	57 [FIM District - Lansing Event] 	--- 	--- 	5
17 	118 	3602 - RoboMos 	47 [FIM District - Standish-Sterling Event] 	71 [FIM District - Escanaba Event] 	--- 	--- 	0
18 	116 	4384 - Benzene Bots 	69 [FIM District - Kettering University Event #1] 	47 [FIM District - Howell Event] 	--- 	--- 	0
19 	112 	5114 - Titanium Tigers 	53 [FIM District - Kettering University Event #1] 	59 [FIM District - Midland Event] 	--- 	--- 	0
20 	111 	5980 - East Grand Rapids Robotics 	55 [FIM District - Lakeview Event] 	46 [FIM District - West Michigan Event] 	--- 	--- 	10
21 	109 	4377 - Boyne City Blaze 	76 [FIM District - Standish-Sterling Event] 	33 [FIM District - Lake Superior State University Event] 	--- 	--- 	0
22 	108 	6193 - The Legend of Robotics 	40 [FIM District - Standish-Sterling Event] 	58 [FIM District - Midland Event] 	--- 	--- 	10
23 	107 	70 - More Martians 	67 [FIM District - Kettering University Event #1] 	40 [FIM District - Howell Event] 	--- 	--- 	0
24 	107 	494 - Martians 	63 [FIM District - Kettering University Event #2] 	44 [FIM District - Howell Event] 	--- 	--- 	0
25 	107 	503 - Frog Force 	59 [FIM District - Center Line Event] 	48 [FIM District - Livonia Event] 	Qualified 	--- 	0
26 	107 	3618 - Petoskey Paladins 	56 [FIM District - Standish-Sterling Event] 	51 [FIM District - Midland Event] 	Qualified 	--- 	0
27 	106 	107 - Team R.O.B.O.T.I.C.S. 	36 [FIM District - Standish-Sterling Event] 	70 [FIM District - West Michigan Event] 	--- 	--- 	0
28 	105 	3538 - RoboJackets 	37 [FIM District - Southfield Event] 	68 [FIM District - Midland Event] 	--- 	--- 	0
29 	104 	5448 - CC Automationeers 	58 [FIM District - Standish-Sterling Event] 	41 [FIM District - West Michigan Event] 	--- 	--- 	5
30 	103 	2619 - The Charge 	25 [FIM District - Standish-Sterling Event] 	78 [FIM District - Midland Event] 	Qualified 	--- 	0
31 	102 	2054 - Tech Vikes 	60 [FIM District - West Michigan Event] 	42 [FIM District - East Kentwood Event] 	--- 	--- 	0
32 	102 	6098 - bIrobot 	43 [FIM District - Standish-Sterling Event] 	49 [FIM District - Marysville Event] 	--- 	--- 	10
33 	98 	123 - Team - Cosmos 	48 [FIM District - Southfield Event] 	50 [FIM District - Center Line Event] 	--- 	--- 	0
34 	98 	217 - ThunderChickens 	60 [FIM District - Marysville Event] 	38 [FIM District - Troy Event] 	--- 	--- 	0
35 	98 	2337 - EngiNERDs 	35 [FIM District - Kettering University Event #2] 	63 [FIM District - Troy Event] 	--- 	--- 	0
36 	98 	548 - Robostangs 	47 [FIM District - Southfield Event] 	51 [FIM District - Livonia Event] 	Qualified 	--- 	0
37 	96 	3656 - Dreadbots 	57 [FIM District - Kettering University Event #1] 	39 [FIM District - Lakeview Event] 	--- 	--- 	0
38 	96 	6086 - Ignition 	41 [FIM District - Kettering University Event #1] 	45 [FIM District - Kettering University Event #2] 	--- 	--- 	10
39 	96 	4381 - Twisted Devils 	43 [FIM District - Lakeview Event] 	53 [FIM District - Lansing Event] 	--- 	--- 	0
40 	95 	5150 - Hybrid Hornets 	53 [FIM District - Kettering University Event #1] 	42 [FIM District - Marysville Event] 	--- 	--- 	0
41 	94 	1481 - The Riveters 	36 [FIM District - Southfield Event] 	58 [FIM District - Center Line Event] 	--- 	--- 	0
42 	93 	3548 - RoboRavens2 	66 [FIM District - Southfield Event] 	27 [FIM District - Livonia Event] 	--- 	--- 	0
43 	92 	3655 - Tractor Technicians 	54 [FIM District - Waterford Event] 	38 [FIM District - Lansing Event] 	--- 	--- 	0
44 	91 	5053 - Lakers 	25 [FIM District - Kettering University Event #1] 	66 [FIM District - Center Line Event] 	--- 	--- 	0
45 	90 	573 - Mech Warriors 	46 [FIM District - Southfield Event] 	44 [FIM District - Troy Event] 	--- 	--- 	0
46 	90 	4362 - Gems 	37 [FIM District - Kettering University Event #2] 	53 [FIM District - Howell Event] 	--- 	--- 	0
47 	89 	5155 - Bearcats 	23 [FIM District - Kettering University Event #2] 	66 [FIM District - Marysville Event] 	--- 	--- 	0
48 	89 	2474 - Excel 	36 [FIM District - St. Joseph Event] 	53 [FIM District - East Kentwood Event] 	--- 	--- 	0
49 	88 	1701 - RoboCubs 	21 [FIM District - Southfield Event] 	67 [FIM District - Center Line Event] 	--- 	--- 	0
50 	88 	68 - Truck Town Thunder 	34 [FIM District - Lansing Event] 	54 [FIM District - Howell Event] 	Qualified 	--- 	0
51 	86 	3539 - Byting Bulldogs 	28 [FIM District - Kettering University Event #2] 	58 [FIM District - Troy Event] 	--- 	--- 	0
52 	86 	4967 - That ONE Team 	38 [FIM District - St. Joseph Event] 	48 [FIM District - East Kentwood Event] 	--- 	--- 	0
53 	85 	5222 - JackBotics 	46 [FIM District - Midland Event] 	39 [FIM District - Lansing Event] 	--- 	--- 	0
54 	84 	5502 - Cobrots 	34 [FIM District - Kettering University Event #1] 	45 [FIM District - Lansing Event] 	--- 	--- 	5
55 	84 	2959 - Robotarians 	22 [FIM District - St. Joseph Event] 	62 [FIM District - Lansing Event] 	Qualified 	--- 	0
56 	84 	1250 - Gator-Bots 	25 [FIM District - Waterford Event] 	59 [FIM District - Livonia Event] 	--- 	--- 	0
57 	83 	3707 - Brighton TechnoDogs 	61 [FIM District - Kettering University Event #2] 	22 [FIM District - Howell Event] 	--- 	--- 	0
58 	83 	4680 - Az-Tech Eagles 	53 [FIM District - Southfield Event] 	30 [FIM District - Center Line Event] 	--- 	--- 	0
59 	82 	3098 - The Captains 	21 [FIM District - Waterford Event] 	61 [FIM District - Center Line Event] 	--- 	--- 	0
