1 	146 	133 - B.E.R.T. 	68 [NE District North Shore Event] 	78 [NE District Pine Tree Event] 	Qualified 	--- 	0
2 	146 	319 - Big Bad Bob 	73 [NE District North Shore Event] 	73 [NE District UNH Event] 	--- 	Qualified 	0
3 	141 	5687 - The Outliers 	72 [NE District Granite State Event] 	69 [NE District Southern CT Event] 	--- 	--- 	0
4 	140 	88 - TJ(Squared) 	69 [NE District Worcester Polytechnic Institute Event] 	71 [NE District SE Mass Event] 	--- 	Qualified 	0
5 	134 	230 - Gaelhawks 	73 [NE District Waterbury Event] 	61 [NE District Southern CT Event] 	--- 	--- 	0
6 	134 	238 - Crusaders 	73 [NE District Granite State Event] 	61 [NE District North Shore Event] 	--- 	--- 	0
7 	133 	2168 - Aluminum Falcons 	63 [NE District SE Mass Event] 	70 [NE District Rhode Island Event] 	--- 	--- 	0
8 	133 	1519 - Mechanical Mayhem 	63 [NE District Worcester Polytechnic Institute Event] 	70 [NE District UNH Event] 	--- 	--- 	0
9 	129 	4564 - Orange Chaos 	68 [NE District Worcester Polytechnic Institute Event] 	61 [NE District Pine Tree Event] 	--- 	--- 	0
10 	119 	78 - AIR STRIKE 	58 [NE District Worcester Polytechnic Institute Event] 	61 [NE District SE Mass Event] 	Qualified 	--- 	0
11 	114 	125 - NUTRONs 	65 [NE District North Shore Event] 	49 [NE District Rhode Island Event] 	Qualified 	Qualified 	0
12 	111 	6328 - Mechanical Advantage 	33 [NE District SE Mass Event] 	73 [NE District Rhode Island Event] 	Qualified 	--- 	5
13 	110 	95 - Grasshoppers 	47 [NE District Granite State Event] 	63 [NE District Southern CT Event] 	--- 	--- 	0
14 	105 	1058 - PVC Pirates 	59 [NE District Granite State Event] 	46 [NE District North Shore Event] 	--- 	--- 	0
15 	103 	5813 - Morpheus 	48 [NE District SE Mass Event] 	55 [NE District UNH Event] 	--- 	--- 	0
16 	103 	6329 - The Bucks' Wrath 	45 [NE District Worcester Polytechnic Institute Event] 	53 [NE District Pine Tree Event] 	--- 	--- 	5
17 	98 	58 - The Riot Crew 	63 [NE District SE Mass Event] 	35 [NE District Pine Tree Event] 	--- 	--- 	0
18 	95 	138 - Entropy 	39 [NE District Granite State Event] 	56 [NE District UNH Event] 	--- 	--- 	0
19 	89 	3461 - Operation PEACCE Robotics 	42 [NE District Waterbury Event] 	47 [NE District Rhode Island Event] 	--- 	--- 	0
