1 	149 	1983 - Skunk Works Robotics 	73 [PNW District - Auburn Mountainview Event] 	76 [PNW District - Central Washington University Event] 	Qualified 	--- 	0
2 	148 	1425 - Error Code Xero 	78 [PNW District - Wilsonville Event] 	70 [PNW District - Auburn Event] 	Qualified 	--- 	0
3 	137 	2471 - Team Mean Machine 	60 [PNW District - Wilsonville Event] 	77 [PNW District - Clackamas Academy of Industrial Science Event] 	Qualified 	--- 	0
4 	136 	2522 - Royal Robotics 	55 [PNW District - Auburn Mountainview Event] 	81 [PNW District - Glacier Peak Event] 	Qualified 	Qualified 	0
5 	134 	3238 - Cyborg Ferrets 	76 [PNW District - Auburn Mountainview Event] 	58 [PNW District - Mount Vernon Event] 	Qualified 	--- 	0
6 	133 	4061 - SciBorgs 	70 [PNW District - West Valley Event] 	63 [PNW District - Central Washington University Event] 	Qualified 	--- 	0
7 	125 	2046 - Bear Metal 	61 [PNW District - Auburn Mountainview Event] 	64 [PNW District - Philomath Event] 	Qualified 	--- 	0
8 	125 	4911 - CyberKnights 	65 [PNW District - Glacier Peak Event] 	60 [PNW District - Mount Vernon Event] 	Qualified 	--- 	0
9 	123 	4488 - Shockwave 	72 [PNW District - Wilsonville Event] 	51 [PNW District - Philomath Event] 	Qualified 	--- 	0
10 	123 	1540 - Flaming Chickens 	50 [PNW District - Wilsonville Event] 	73 [PNW District - Clackamas Academy of Industrial Science Event] 	Qualified 	--- 	0
11 	112 	5920 - VIKotics 	66 [PNW District - West Valley Event] 	36 [PNW District - Central Washington University Event] 	Qualified 	--- 	10
12 	109 	3663 - CPR - Cedar Park Robotics 	39 [PNW District - Auburn Mountainview Event] 	70 [PNW District - Glacier Peak Event] 	Qualified 	--- 	0
13 	109 	4469 - R.A.I.D. (Raider Artificial In... 	36 [PNW District - Auburn Mountainview Event] 	73 [PNW District - Auburn Event] 	Qualified 	--- 	0
14 	105 	2147 - CHUCK 	70 [PNW District - West Valley Event] 	35 [PNW District - Central Washington University Event] 	Qualified 	--- 	0
15 	102 	3711 - Iron Mustang 	39 [PNW District - Wilsonville Event] 	63 [PNW District - Central Washington University Event] 	Qualified 	--- 	0
16 	99 	4205 - ROBOCUBS 	37 [PNW District - Glacier Peak Event] 	62 [PNW District - Mount Vernon Event] 	Qualified 	--- 	0
17 	99 	5450 - St. Helens Robotics and Engine... 	69 [PNW District - West Valley Event] 	25 [PNW District - Clackamas Academy of Industrial Science Event] 	Qualified 	--- 	5
18 	98 	4131 - Iron Patriots 	41 [PNW District - Auburn Mountainview Event] 	57 [PNW District - Auburn Event] 	Qualified 	--- 	0
19 	97 	2928 - Viking Robotics 	33 [PNW District - Glacier Peak Event] 	64 [PNW District - Mount Vernon Event] 	Qualified 	--- 	0
20 	96 	3786 - Chargers 	47 [PNW District - Auburn Mountainview Event] 	49 [PNW District - Auburn Event] 	Qualified 	--- 	0
21 	92 	2557 - SOTAbots 	48 [PNW District - Auburn Mountainview Event] 	44 [PNW District - Central Washington University Event] 	Qualified 	--- 	0
22 	91 	3826 - Sequim Robotics Federation "SR... 	56 [PNW District - Glacier Peak Event] 	35 [PNW District - Mount Vernon Event] 	Qualified 	--- 	0
