1 	143 	2811 - StormBots 	65 [PNW District Clackamas Academy Event] 	78 [PNW District SunDome Event] 	--- 	--- 	0
2 	142 	4513 - Circuit Breakers 	72 [PNW District Clackamas Academy Event] 	70 [PNW District West Valley Event] 	--- 	--- 	0
3 	142 	2910 - Jack in the Bot 	69 [PNW District Mount Vernon Event] 	73 [PNW District Glacier Peak Event] 	--- 	--- 	0
4 	138 	1983 - Skunk Works Robotics 	69 [PNW District Auburn Event] 	69 [PNW District Glacier Peak Event] 	--- 	--- 	0
5 	134 	2046 - Bear Metal 	73 [PNW District Clackamas Academy Event] 	61 [PNW District Auburn Event] 	--- 	--- 	0
6 	132 	5803 - Apex Robotics 	59 [PNW District Clackamas Academy Event] 	73 [PNW District Auburn Event] 	--- 	--- 	0
7 	120 	2990 - Hotwire 	59 [PNW District Wilsonville Event] 	61 [PNW District West Valley Event] 	--- 	--- 	0
8 	119 	1318 - Issaquah Robotics Society 	44 [PNW District Mount Vernon Event] 	75 [PNW District SunDome Event] 	Qualified 	--- 	0
9 	107 	4061 - SciBorgs 	60 [PNW District SunDome Event] 	47 [PNW District West Valley Event] 	--- 	--- 	0
10 	106 	2147 - CHUCK 	62 [PNW District Mount Vernon Event] 	44 [PNW District West Valley Event] 	--- 	--- 	0
11 	98 	6831 - A-05 Annex 	45 [PNW District Clackamas Academy Event] 	43 [PNW District SunDome Event] 	--- 	--- 	10
12 	96 	3711 - Iron Mustang 	35 [PNW District Clackamas Academy Event] 	61 [PNW District SunDome Event] 	--- 	--- 	0
13 	95 	3218 - Panther Robotics 	36 [PNW District SunDome Event] 	59 [PNW District Glacier Peak Event] 	--- 	--- 	0
14 	95 	488 - Team XBot 	51 [PNW District Mount Vernon Event] 	44 [PNW District Auburn Event] 	--- 	--- 	0
15 	94 	4980 - Canine Crusaders 	38 [PNW District SunDome Event] 	56 [PNW District West Valley Event] 	--- 	--- 	0
16 	89 	4488 - Shockwave 	31 [PNW District Wilsonville Event] 	58 [PNW District Glacier Peak Event] 	--- 	--- 	0
17 	89 	4911 - CyberKnights 	37 [PNW District Mount Vernon Event] 	52 [PNW District Glacier Peak Event] 	Qualified 	--- 	0
18 	87 	2605 - Seamonsters 	43 [PNW District Mount Vernon Event] 	44 [PNW District Auburn Event] 	--- 	--- 	0
19 	85 	4125 - Confidential 	43 [PNW District Clackamas Academy Event] 	42 [PNW District SunDome Event] 	Qualified 	--- 	0
20 	83 	4450 - Olympia Robotics Federation 	54 [PNW District Mount Vernon Event] 	29 [PNW District Glacier Peak Event] 	--- 	--- 	0
21 	80 	1540 - Flaming Chickens 	41 [PNW District Clackamas Academy Event] 	39 [PNW District Wilsonville Event] 	--- 	Qualified 	0
