55 	34 	4060 - S.W.A.G. 	9 [PNW District Mount Vernon Event] 	25 [PNW District Auburn Event] 	--- 	--- 	0
56 	33 	3223 - Robotics Of Central Kitsap 	33 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
57 	33 	2976 - Spartabots 	33 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
58 	32 	3049 - BremerTron 	6 [PNW District Mount Vernon Event] 	26 [PNW District Auburn Event] 	--- 	--- 	0
59 	32 	2148 - Mechaknights 	32 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
60 	32 	1778 - Chill Out 	32 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
61 	31 	5970 - BeaverTronics 	31 [PNW District Clackamas Academy Event] 	Not Played 	--- 	--- 	0
62 	31 	2915 - Pandamonium 	31 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
63 	31 	3663 - CPR - Cedar Park Robotics 	31 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
64 	31 	360 - The Revolution 	31 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
65 	31 	2906 - Sentinel Prime Robotics 	31 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
66 	31 	4488 - Shockwave 	31 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
67 	31 	3674 - 4-H / CAM Academy CloverBots 	31 [PNW District Clackamas Academy Event] 	Not Played 	--- 	--- 	0
68 	30 	5085 - LakerBots 	6 [PNW District Clackamas Academy Event] 	24 [PNW District Wilsonville Event] 	--- 	--- 	0
69 	29 	4608 - Duct Tape Warriors 	29 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
70 	29 	3219 - TREAD 	29 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
71 	27 	4077 - M*A*S*H 	27 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
72 	27 	997 - Spartan Robotics 	27 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
73 	26 	5450 - St. Helens Robotics and Engine... 	26 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
74 	26 	4089 - Stealth Robotics 	26 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
75 	25 	4120 - Jagwires 	25 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
76 	25 	2412 - Robototes 	25 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
77 	25 	2522 - Royal Robotics 	25 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
78 	25 	6959 - Centralia Circuit Breakers #69... 	9 [PNW District Clackamas Academy Event] 	6 [PNW District Auburn Event] 	--- 	--- 	10
79 	25 	7118 - ScotBots 	15 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	10
80 	23 	2927 - Pi Rho Techs 	23 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
81 	23 	3786 - Chargers 	23 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
82 	23 	2930 - Sonic Squirrels 	23 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
83 	23 	5920 - VIKotics 	23 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
84 	23 	6443 - AEMBOT 	18 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	5
85 	23 	4309 - 4-H Botsmiths 	23 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
86 	22 	5295 - Aldernating Current 	22 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
87 	22 	6343 - Steel Ridge Robotics 	17 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	5
88 	22 	2944 - Titanium Tigers 	22 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
89 	22 	3070 - Team Pronto 	22 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
90 	21 	2550 - Skynet 	21 [PNW District Clackamas Academy Event] 	Not Played 	--- 	--- 	0
91 	21 	3588 - the Talon 	21 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
